staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image_l.started,image_r.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.088442799984477,9.088442799984477,0.03900500002782792,[0.2814814814814815],[0.0787037037037037],[1],[0],[0],[1.210670999949798],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
1,0,1,0,10.338434999925084,10.338434999925084,0.029252300038933754,[0.2814814814814815],[0.0787037037037037],[1],[0],[0],[1.2512927999487147],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
2,0,2,0,11.621749199926853,11.621749199926853,0.027651499956846237,[-0.25],[0.05],[1],[0],[0],[0.9543450999772176],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
3,0,3,0,12.605070299934596,12.605070299934596,0.028226700029335916,[0.22870370370370371],[0.03981481481481482],[1],[0],[0],[0.7368262000381947],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
4,0,4,0,13.371737099951133,13.371737099951133,0.028433099971152842,[-0.22685185185185186],[-0.009259259259259259],[1],[0],[0],[0.7533242999343202],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
5,0,5,0,14.15505870000925,14.15505870000925,0.027767100022174418,[0.31203703703703706],[0.028703703703703703],[1],[0],[0],[0.6217426999937743],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
6,0,6,0,14.8050699000014,14.8050699000014,0.028251599986106157,[0.1824074074074074],[0.03796296296296296],[1],[0],[0],[0.9690098999999464],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
7,0,7,0,15.805050399969332,15.805050399969332,0.030967299942858517,[-0.18981481481481483],[0.025],[1],[0],[0],[0.567467899993062],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
8,0,8,0,16.40504909993615,16.40504909993615,0.02973449998535216,[-0.16574074074074074],[0.028703703703703703],[1],[0],[0],[0.902060899999924],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
9,0,9,0,17.338376499945298,17.338376499945298,0.027500699972733855,[-0.17777777777777778],[0.010185185185185186],[1],[0],[0],[0.7709542999509722],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
10,0,10,0,18.138381500029936,18.138381500029936,0.027515400084666908,[0.22407407407407406],[0.012962962962962963],[1],[0],[0],[0.5717260000528768],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
11,0,11,0,18.73838999995496,18.73838999995496,0.02856219990644604,[-0.2611111111111111],[0.002777777777777778],[1],[0],[0],[0.6356745000230148],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
12,0,12,0,19.405030100024305,19.405030100024305,0.027009300072677433,[-0.25],[0.011111111111111112],[1],[0],[0],[1.1050014999927953],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
13,0,13,0,20.538413499947637,20.538413499947637,0.03606690000742674,[-0.25],[0.011111111111111112],[1],[0],[0],[1.3115610999520868],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
14,0,14,0,21.888365900027566,21.888365900027566,0.02801130001898855,[0.3111111111111111],[-0.004629629629629629],[1],[0],[0],[1.2214570998912677],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
