staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
1,0,1,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
2,0,2,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
3,0,3,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
4,0,4,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
5,0,5,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
6,0,6,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
7,0,7,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
8,0,8,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
9,0,9,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
10,0,10,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
11,0,11,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
12,0,12,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
13,0,13,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
14,0,14,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
15,0,15,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
16,0,16,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
17,0,17,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
18,0,18,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
19,0,19,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
20,0,20,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
21,0,21,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
22,0,22,0,726193,001,2023-05-16_13h53.53.823,staircase,2023.1.1,60.01543594792857,
