7.1053 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000239DB7F8A00>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000239DB7F89A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000239DB7F86D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000239E1BCB520>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1053 	EXP 	window1: mouseVisible = True
7.1054 	EXP 	window1: backgroundImage = ''
7.1054 	EXP 	window1: backgroundFit = 'none'
7.1054 	EXP 	window1: mouseVisible = False
7.1054 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.1055 	EXP 	window1: recordFrameIntervals = False
7.2716 	EXP 	window1: recordFrameIntervals = True
7.4549 	EXP 	Screen (0) actual frame rate measured at 60.02Hz
7.4549 	EXP 	window1: recordFrameIntervals = False
9.3821 	EXP 	Created image_l = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_l', opacity=1.0, ori=0.0, pos=array([-0.33,  0.  ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.3966 	EXP 	Created image_r = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_r', opacity=1.0, ori=0.0, pos=array([0.33, 0.  ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.3969 	EXP 	window1: mouseVisible = True
9.3978 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
9.3982 	EXP 	New trial (rep=0, index=0): None
9.4548 	EXP 	image_l: image = 'stimuli/fractal_left.png'
9.4548 	EXP 	image_r: image = 'stimuli/fractal_right.png'
9.4548 	EXP 	image_l: autoDraw = True
9.4548 	EXP 	image_r: autoDraw = True
10.6383 	DATA 	Mouse: Left button down, pos=(1211,597)
10.6397 	EXP 	New trial (rep=1, index=0): None
10.6881 	EXP 	image_l: autoDraw = False
10.6881 	EXP 	image_r: autoDraw = False
10.6881 	EXP 	image_l: image = 'stimuli/fractal_left.png'
10.6881 	EXP 	image_r: image = 'stimuli/fractal_right.png'
10.6881 	EXP 	image_l: autoDraw = True
10.6881 	EXP 	image_r: autoDraw = True
10.7383 	DATA 	Mouse:  Left button up, pos=(1211,597)
12.0888 	DATA 	Mouse: Left button down, pos=(1211,597)
12.1058 	EXP 	New trial (rep=2, index=0): None
12.1548 	EXP 	image_l: autoDraw = False
12.1548 	EXP 	image_r: autoDraw = False
12.1548 	EXP 	image_l: image = 'stimuli/fractal_left.png'
12.1548 	EXP 	image_r: image = 'stimuli/fractal_right.png'
12.1548 	EXP 	image_l: autoDraw = True
