6.5978 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.4081 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016E831E0D60>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016E831E0D00>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016E831E0A00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000016E89ACC940>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.4082 	EXP 	window1: mouseVisible = True
7.4082 	EXP 	window1: backgroundImage = ''
7.4082 	EXP 	window1: backgroundFit = 'none'
7.4084 	EXP 	window1: mouseVisible = False
7.4084 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.4084 	EXP 	window1: recordFrameIntervals = False
7.5745 	EXP 	window1: recordFrameIntervals = True
7.7579 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
7.7579 	EXP 	window1: recordFrameIntervals = False
9.7220 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='4', units='height', win=Window(...), wrapWidth=1)
9.7224 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
9.7226 	EXP 	New trial (rep=0, index=0): None
9.7580 	EXP 	text: autoDraw = True
10.7579 	EXP 	text: autoDraw = False
13.6089 	EXP 	New trial (rep=1, index=0): None
13.6243 	DATA 	Keypress: space
13.6412 	EXP 	text: autoDraw = False
13.6412 	EXP 	text: autoDraw = True
14.6411 	EXP 	text: autoDraw = False
15.2921 	EXP 	New trial (rep=2, index=0): None
15.3071 	DATA 	Keypress: space
15.3244 	EXP 	text: autoDraw = False
15.3244 	EXP 	text: autoDraw = True
16.3244 	EXP 	text: autoDraw = False
16.6757 	EXP 	New trial (rep=3, index=0): None
16.6907 	DATA 	Keypress: space
16.7077 	EXP 	text: autoDraw = False
16.7077 	EXP 	text: autoDraw = True
17.7076 	EXP 	text: autoDraw = False
18.1919 	EXP 	New trial (rep=4, index=0): None
18.2074 	DATA 	Keypress: space
18.2244 	EXP 	text: autoDraw = False
18.2244 	EXP 	text: autoDraw = True
19.2244 	EXP 	text: autoDraw = False
19.5921 	DATA 	Keypress: space
19.6076 	EXP 	text: autoDraw = False
19.6812 	EXP 	window1: mouseVisible = True
